"ID","Age_Retired","Last_Salary","Retirement_Savings","Monthly_Benefit","Replacement_Rate"
9447,60,3713,32984.03,185.11,"5.0%"
9448,65,2336,20167.95,113.18,"4.8%"
9449,65,6997,51546.05,289.28,"4.1%"
9450,65,7865,57951.67,325.23,"4.1%"
9451,62,10846,76744.6,430.7,"4.0%"
9452,64,4201,34489.55,193.56,"4.6%"
9454,63,3919,34079.02,191.25,"4.9%"
9455,66,5174,41392.36,232.3,"4.5%"
9456,60,12805,91290.2,512.33,"4.0%"
9457,61,5841,46991.33,263.72,"4.5%"
9458,60,1834,19409,108.92,"5.9%"
9459,67,5710,42171.14,236.67,"4.1%"
9460,67,4689,37739.36,211.8,"4.5%"
9461,65,4431,36931.08,207.26,"4.7%"
9462,62,9050,65638.33,368.37,"4.1%"
9463,64,3142,24529.35,137.66,"4.4%"
9464,61,5708,39798.82,223.35,"3.9%"
9465,66,3247,30801.74,172.86,"5.3%"
9466,60,6322,49358.26,277,"4.4%"
9467,61,3656,29321.37,164.55,"4.5%"
9468,64,8331,66075.48,370.82,"4.5%"
9469,64,2993,25018.8,140.41,"4.7%"
9470,64,6267,46854.24,262.95,"4.2%"
9471,62,2981,23790.15,133.51,"4.5%"
9472,64,3746,33098.97,185.75,"5.0%"
9474,63,5437,42781.54,240.09,"4.4%"
9475,61,11047,77805.45,436.65,"4.0%"
9476,63,1875,20883.99,117.2,"6.3%"
9478,62,1921,15866.07,89.04,"4.6%"
9479,68,5807,40846.36,229.23,"3.9%"
9480,66,6381,46093.45,258.68,"4.1%"
9482,60,2150,16462.05,92.39,"4.3%"
9484,68,7453,61968.28,347.77,"4.7%"
9485,64,2974,30396.09,170.58,"5.7%"
9486,62,6958,52337.13,293.72,"4.2%"
9487,65,2648,22740.75,127.62,"4.8%"
9488,68,2301,23750.29,133.29,"5.8%"
9489,62,2386,20622.49,115.73,"4.9%"
9490,65,5203,42842.1,240.43,"4.6%"
9491,65,4015,37556.87,210.77,"5.2%"
9492,60,2184,17833.26,100.08,"4.6%"
9493,68,1892,18874.33,105.92,"5.6%"
9495,66,4747,39568.39,222.06,"4.7%"
9496,65,11661,80486.98,451.7,"3.9%"
9497,66,4668,36134.79,202.79,"4.3%"
9498,68,3923,37058.05,207.97,"5.3%"
9499,64,3628,29049.8,163.03,"4.5%"
9500,65,14822,101950.5,572.15,"3.9%"
9501,61,9223,68080.36,382.07,"4.1%"
9503,60,3183,29657.53,166.44,"5.2%"
9504,61,2646,24049.62,134.97,"5.1%"
9505,64,3910,34445.52,193.31,"4.9%"
9506,64,2030,14705.2,82.53,"4.1%"
9507,60,4465,33476.19,187.87,"4.2%"
9508,65,4773,39421.49,221.24,"4.6%"
9509,60,3005,21990.96,123.41,"4.1%"
9510,65,2461,24089.37,135.19,"5.5%"
9511,66,5970,48672.69,273.15,"4.6%"
9512,68,10452,73429.43,412.09,"3.9%"
9513,62,6710,51855.3,291.02,"4.3%"
9514,67,3592,31448.98,176.49,"4.9%"
9515,68,4227,38797.79,217.74,"5.2%"
9516,63,4024,29755.25,166.99,"4.1%"
9517,65,4065,35137.6,197.19,"4.9%"
9518,63,4723,34841.1,195.53,"4.1%"
9519,60,8237,62437.3,350.4,"4.3%"
9520,68,7235,58122.79,326.19,"4.5%"
9521,65,11362,77411.02,434.44,"3.8%"
9522,67,7100,53548.33,300.52,"4.2%"
9523,60,3244,26007.88,145.96,"4.5%"
9524,65,5445,46509.3,261.01,"4.8%"
9525,60,4362,39080.5,219.32,"5.0%"
9526,64,4585,36876.47,206.95,"4.5%"
9527,68,3946,30642.27,171.97,"4.4%"
9528,67,3508,24323.74,136.51,"3.9%"
9529,62,3117,22732.24,127.57,"4.1%"
9530,65,4731,37636.22,211.22,"4.5%"
9532,65,6742,50906.85,285.69,"4.2%"
9533,67,3435,30196.98,169.47,"4.9%"
9534,67,5431,45631.49,256.09,"4.7%"
9536,62,2205,19971.69,112.08,"5.1%"
9537,66,5231,37559.94,210.79,"4.0%"
9538,62,2683,20738.36,116.38,"4.3%"
9540,66,2365,16268.89,91.3,"3.9%"
9541,64,4705,35675.7,200.21,"4.3%"
9542,67,6292,48609.68,272.8,"4.3%"
9543,65,2015,24064.31,135.05,"6.7%"
9544,65,7295,55764.49,312.95,"4.3%"
9545,65,4914,33343.95,187.13,"3.8%"
9546,63,2297,20038.41,112.46,"4.9%"
9547,64,7669,59415.57,333.44,"4.3%"
9548,60,5174,37780.63,212.03,"4.1%"
9550,63,7180,54835.1,307.74,"4.3%"
9551,66,2206,19094.69,107.16,"4.9%"
9553,65,6017,43044.65,241.57,"4.0%"
9554,60,5305,40742.56,228.65,"4.3%"
9555,63,3311,28372.55,159.23,"4.8%"
9556,62,5186,37517.22,210.55,"4.1%"
9557,66,5478,47042.38,264,"4.8%"
9558,60,23233,162295.04,910.81,"3.9%"
9559,61,6921,46463.23,260.75,"3.8%"
9561,62,2338,16335.93,91.68,"3.9%"
9562,62,5446,38834.62,217.94,"4.0%"
9563,61,5123,42671.88,239.48,"4.7%"
9564,61,6551,50516.68,283.5,"4.3%"
9565,67,2410,25898.83,145.35,"6.0%"
9568,62,7108,48847.92,274.14,"3.9%"
9569,64,5054,38190.43,214.33,"4.2%"
9570,64,5699,47527.3,266.73,"4.7%"
9571,63,6873,47766.8,268.07,"3.9%"
9572,66,6355,54660.18,306.76,"4.8%"
9574,60,7006,56852.17,319.06,"4.6%"
9575,60,2319,19221.12,107.87,"4.7%"
9576,60,2736,21215.82,119.06,"4.4%"
9578,67,3182,27801.36,156.02,"4.9%"
9579,61,5396,44119.76,247.6,"4.6%"
9580,67,7186,52309.37,293.56,"4.1%"
9581,62,2988,30369.82,170.44,"5.7%"
9582,63,6546,47480.96,266.47,"4.1%"
9583,62,8574,61501.53,345.15,"4.0%"
9585,61,4257,38986.45,218.79,"5.1%"
9586,65,3894,27840.25,156.24,"4.0%"
9587,60,3676,35472.99,199.08,"5.4%"
9588,60,2828,21790.21,122.29,"4.3%"
9589,66,4284,38508.73,216.11,"5.0%"
9590,63,6556,51439.48,288.68,"4.4%"
9591,66,3312,23305.21,130.79,"3.9%"
9593,60,9182,67653.65,379.68,"4.1%"
9594,67,8056,62927.78,353.15,"4.4%"
9595,65,6788,55409.16,310.96,"4.6%"
9596,66,2900,24891.58,139.69,"4.8%"
9598,66,3425,30936.91,173.62,"5.1%"
9599,61,2272,17733.11,99.52,"4.4%"
9600,62,3498,26723.26,149.97,"4.3%"
9601,61,6376,44236.04,248.26,"3.9%"
9602,65,10479,80162.02,449.87,"4.3%"
9604,67,3753,30504.04,171.19,"4.6%"
9605,67,5740,46171.13,259.12,"4.5%"
9606,65,4463,38593.45,216.59,"4.9%"
9607,63,3289,27289.4,153.15,"4.7%"
9608,65,3980,28729.9,161.23,"4.1%"
9609,62,9006,64301.3,360.86,"4.0%"
9610,67,4339,37202.46,208.78,"4.8%"
9612,62,4453,34751.45,195.03,"4.4%"
9613,66,7901,59521.15,334.04,"4.2%"
9614,62,3586,33589.22,188.5,"5.3%"
9615,66,5136,39286.24,220.48,"4.3%"
9616,67,3734,27130.23,152.26,"4.1%"
9617,60,5214,35471.56,199.07,"3.8%"
9618,62,5510,37734.65,211.77,"3.8%"
9619,63,10158,76705.04,430.47,"4.2%"
9620,61,3802,28936.31,162.39,"4.3%"
9621,64,12867,93666.43,525.66,"4.1%"
9622,61,4366,38966.55,218.68,"5.0%"
9623,64,4550,35982.9,201.94,"4.4%"
9624,61,5394,46718.37,262.19,"4.9%"
9625,68,6165,42171.15,236.67,"3.8%"
9626,63,4322,37154.03,208.51,"4.8%"
9627,65,3634,30752.19,172.58,"4.7%"
9628,61,2403,24174.97,135.67,"5.6%"
9629,65,7977,62358.54,349.96,"4.4%"
9631,63,5349,43253.48,242.74,"4.5%"
9633,68,7191,60118.64,337.39,"4.7%"
9634,64,5474,43195.49,242.42,"4.4%"
9635,66,4917,42874.54,240.61,"4.9%"
9636,62,3842,30219.18,169.59,"4.4%"
9637,65,4075,35536.21,199.43,"4.9%"
9638,66,3152,31055.79,174.29,"5.5%"
9639,60,6115,50906.43,285.69,"4.7%"
9640,63,2721,23908.07,134.17,"4.9%"
9642,66,7498,54313.56,304.81,"4.1%"
9643,61,2274,24180.02,135.7,"6.0%"
9644,62,6297,51937.92,291.48,"4.6%"
9645,62,5326,40300.79,226.17,"4.2%"
9646,63,2931,23457.44,131.64,"4.5%"
9647,65,3744,33741.95,189.36,"5.1%"
9648,68,4672,36344.69,203.97,"4.4%"
9649,63,5624,45469.37,255.18,"4.5%"
9650,63,3966,33544.17,188.25,"4.7%"
9651,62,3581,33517.89,188.1,"5.3%"
9652,60,3308,31592.98,177.3,"5.4%"
9653,68,14075,103497.77,580.84,"4.1%"
9654,63,3605,26207.39,147.08,"4.1%"
9655,66,4352,34370.45,192.89,"4.4%"
9656,68,5988,44226.79,248.2,"4.1%"
9657,66,13539,98423.89,552.36,"4.1%"
9658,66,1827,19425.62,109.02,"6.0%"
9660,63,4011,37286.22,209.25,"5.2%"
9661,63,2811,25007.64,140.34,"5.0%"
9663,65,3641,34985.32,196.34,"5.4%"
9664,63,8583,68618.1,385.09,"4.5%"
9665,60,7098,57089.51,320.39,"4.5%"
9666,60,9068,60707.57,340.69,"3.8%"
9667,63,3024,23448.7,131.6,"4.4%"
9668,67,5798,43168.22,242.26,"4.2%"
9669,60,3013,29819.97,167.35,"5.6%"
9670,60,9061,70523.36,395.78,"4.4%"
9671,65,5688,40157.26,225.36,"4.0%"
9673,61,2759,25670.64,144.07,"5.2%"
9674,68,2095,23017.73,129.18,"6.2%"
9675,68,1812,14647.19,82.2,"4.5%"
9676,67,7281,51100.75,286.78,"3.9%"
9677,60,2594,23152.56,129.93,"5.0%"
9678,64,2988,20850.85,117.02,"3.9%"
9679,66,2907,25090.27,140.81,"4.8%"
9680,62,6842,56693.2,318.17,"4.7%"
9681,67,5839,42701.88,239.65,"4.1%"
9682,66,5891,41304.79,231.8,"3.9%"
9683,60,3763,34949.47,196.14,"5.2%"
9684,62,4675,38120.65,213.94,"4.6%"
9685,65,5175,43634.45,244.88,"4.7%"
9686,67,2882,29448.06,165.26,"5.7%"
9687,64,5571,42173.25,236.68,"4.2%"
9688,63,3278,33251.78,186.61,"5.7%"
9689,66,3309,24310.56,136.43,"4.1%"
9690,62,6897,52496.8,294.62,"4.3%"
9691,65,4845,35576.37,199.66,"4.1%"
9692,65,3307,25752.57,144.53,"4.4%"
9693,67,5033,43137.82,242.09,"4.8%"
9694,62,2843,29296.19,164.41,"5.8%"
9695,65,3569,31206.18,175.13,"4.9%"
9696,62,11117,76960.85,431.91,"3.9%"
9697,64,3811,34808.88,195.35,"5.1%"
9698,63,4138,29337.23,164.64,"4.0%"
9699,67,3665,27269.77,153.04,"4.2%"
9700,64,5233,38891.84,218.26,"4.2%"
9701,67,3890,31968.11,179.41,"4.6%"
9702,68,2757,23879.86,134.02,"4.9%"
9703,61,8767,66282.54,371.98,"4.2%"
9704,63,9262,71574.2,401.68,"4.3%"
9705,61,8008,55919.23,313.82,"3.9%"
9706,63,5703,43952.71,246.67,"4.3%"
9707,68,4909,36310.25,203.78,"4.2%"
9708,62,3107,30810.68,172.91,"5.6%"
9709,63,6541,50623.27,284.1,"4.3%"
9710,63,3217,26453.81,148.46,"4.6%"
9711,66,6638,53016.85,297.53,"4.5%"
9713,62,4618,37421.49,210.01,"4.5%"
9714,67,8239,64036.28,359.38,"4.4%"
9715,67,8425,65624.28,368.29,"4.4%"
9716,67,4425,39663.02,222.59,"5.0%"
9717,61,10138,80908.57,454.06,"4.5%"
9718,60,5482,41591.23,233.41,"4.3%"
9719,60,3531,24842.81,139.42,"3.9%"
9720,64,8116,64557.04,362.3,"4.5%"
9723,66,6870,52972.32,297.28,"4.3%"
9725,60,4363,36659.2,205.73,"4.7%"
9726,62,5484,43320.57,243.12,"4.4%"
9727,61,13746,99972.64,561.05,"4.1%"
9728,62,5095,40060.75,224.82,"4.4%"
9729,62,2099,22387.5,125.64,"6.0%"
9730,61,3199,30640.57,171.96,"5.4%"
9731,65,2204,16307.57,91.52,"4.2%"
9733,65,4330,37317.4,209.43,"4.8%"
9734,67,4504,40644.06,228.1,"5.1%"
9737,65,4470,34197.18,191.92,"4.3%"
9738,60,6080,45485.99,255.27,"4.2%"
9739,68,5039,38199.75,214.38,"4.3%"
9740,63,4012,31662.9,177.69,"4.4%"
9741,60,5347,44879.53,251.87,"4.7%"
9742,63,3405,23308.7,130.81,"3.8%"
9743,60,2259,19528.58,109.6,"4.9%"
9744,67,2996,22721.71,127.52,"4.3%"
9745,63,4819,33043.09,185.44,"3.8%"
9746,62,3300,29111.94,163.38,"5.0%"
9747,61,2818,21565.5,121.03,"4.3%"
9748,61,3251,28496.6,159.92,"4.9%"
9749,67,4042,35616.4,199.88,"4.9%"
9751,63,5061,42607.53,239.12,"4.7%"
9752,66,2372,24602.36,138.07,"5.8%"
9753,63,3274,23009.54,129.13,"3.9%"
9754,65,5604,46721.66,262.2,"4.7%"
9755,66,11495,83947.75,471.12,"4.1%"
9756,66,9708,73702.28,413.62,"4.3%"
9757,66,3478,24977.93,140.18,"4.0%"
9758,66,1766,14876.89,83.49,"4.7%"
9759,65,6128,42871.57,240.6,"3.9%"
9760,64,4276,30162.99,169.28,"4.0%"
9761,61,7500,50967.15,286.03,"3.8%"
9762,65,6056,50873.62,285.51,"4.7%"
9765,64,5460,39637.66,222.45,"4.1%"
9766,68,5401,46541.21,261.19,"4.8%"
9767,60,3918,29287.57,164.36,"4.2%"
9768,61,4095,37005.95,207.68,"5.1%"
9769,65,5533,45842.45,257.27,"4.6%"
9770,67,7749,56251.12,315.68,"4.1%"
9771,67,3679,28153.04,158,"4.3%"
9772,67,2926,23657.51,132.77,"4.5%"
9773,68,7123,58889.1,330.49,"4.6%"
9774,67,2656,20791.58,116.68,"4.4%"
9775,65,5180,42910.55,240.82,"4.6%"
9776,66,6247,52359.9,293.85,"4.7%"
9777,64,7590,55416.92,311,"4.1%"
9778,63,5860,49961.39,280.39,"4.8%"
9779,60,8729,63014.66,353.64,"4.1%"
9780,65,3196,27275.48,153.07,"4.8%"
9781,65,3832,32618.89,183.06,"4.8%"
9782,62,2524,20318.59,114.03,"4.5%"
9783,62,2603,27254.11,152.95,"5.9%"
9784,61,6776,50951.72,285.94,"4.2%"
9785,63,4960,43713.66,245.32,"4.9%"
9786,61,5361,46858.13,262.97,"4.9%"
9787,60,8791,64576.14,362.41,"4.1%"
9788,61,2339,19752.01,110.85,"4.7%"
9789,64,4972,43119.56,241.99,"4.9%"
9791,67,3402,23903.56,134.15,"3.9%"
9792,64,4802,35887.55,201.4,"4.2%"
9793,68,2494,25574.87,143.53,"5.8%"
9794,63,4500,34637.9,194.39,"4.3%"
9795,63,6525,52176.94,292.82,"4.5%"
9796,67,5018,36407.02,204.32,"4.1%"
9798,67,6909,47077.98,264.2,"3.8%"
9800,65,2738,21174.11,118.83,"4.3%"
9801,62,5071,41654.92,233.77,"4.6%"
9802,64,4538,39412.73,221.19,"4.9%"
9803,67,8315,62083.22,348.41,"4.2%"
9804,61,2303,21879.59,122.79,"5.3%"
9805,67,3767,26536.54,148.92,"4.0%"
9806,64,3125,26008.38,145.96,"4.7%"
9807,61,2271,21289.4,119.48,"5.3%"
9808,62,2989,31235.02,175.29,"5.9%"
9809,61,6763,48019.98,269.49,"4.0%"
9810,66,2985,21138.45,118.63,"4.0%"
9811,64,1886,22365.51,125.52,"6.7%"
9813,62,6631,51374.74,288.32,"4.3%"
9814,66,9424,68528.66,384.59,"4.1%"
9815,64,2133,20318.44,114.03,"5.3%"
9816,67,1947,20062.6,112.59,"5.8%"
9817,64,11618,80023.01,449.09,"3.9%"
9818,63,4111,38659.47,216.96,"5.3%"
9819,63,5009,41618.9,233.57,"4.7%"
9820,62,11814,86823.55,487.26,"4.1%"
9821,61,3332,22985.4,129,"3.9%"
9823,67,7660,55070.84,309.06,"4.0%"
9824,61,13169,91711.88,514.69,"3.9%"
9825,68,3073,27624.43,155.03,"5.0%"
9826,61,7574,54694.63,306.95,"4.1%"
9827,64,4324,35264.78,197.91,"4.6%"
9828,61,3072,26480.23,148.61,"4.8%"
9829,65,3507,30824,172.99,"4.9%"
9830,68,4774,37200.39,208.77,"4.4%"
9832,65,3022,29833.47,167.43,"5.5%"
9833,64,2447,23119.05,129.75,"5.3%"
9834,64,2700,26208.26,147.08,"5.4%"
9835,62,4848,37358.64,209.66,"4.3%"
9836,62,6771,46659.9,261.86,"3.9%"
9837,62,3780,34053.78,191.11,"5.1%"
9838,65,8128,57658.44,323.58,"4.0%"
9839,60,3700,29820.64,167.36,"4.5%"
9840,67,2308,17155.8,96.28,"4.2%"
9841,61,5122,37200.43,208.77,"4.1%"
9843,66,3512,24871.49,139.58,"4.0%"
9844,60,1344,18727.32,105.1,"7.8%"
9845,65,4349,38988.5,218.81,"5.0%"
9846,66,4080,32045.14,179.84,"4.4%"
9847,61,1616,15720.26,88.22,"5.5%"
9848,67,4499,32490.01,182.34,"4.1%"
9849,62,2718,24969.8,140.13,"5.2%"
9850,62,5014,39972.8,224.33,"4.5%"
9851,62,3956,29468.61,165.38,"4.2%"
9852,67,4722,32600.92,182.96,"3.9%"
9853,63,5661,47382.06,265.91,"4.7%"
9854,68,3924,29110.55,163.37,"4.2%"
9856,61,7161,59146.82,331.94,"4.6%"
9857,62,3794,34046.9,191.07,"5.0%"
9858,62,3886,35150.36,197.27,"5.1%"
9859,66,2851,25141.03,141.09,"4.9%"
9860,62,4419,34966.04,196.23,"4.4%"
9861,65,6664,55274.1,310.2,"4.7%"
9862,66,4579,37397.75,209.88,"4.6%"
9863,66,2392,17826.59,100.04,"4.2%"
9864,63,6203,50735.9,284.73,"4.6%"
9865,65,3772,33584.02,188.48,"5.0%"
9866,65,7110,58807.39,330.03,"4.6%"
9867,63,5119,43348.21,243.27,"4.8%"
9868,61,3159,31947.19,179.29,"5.7%"
9869,63,3310,29112.91,163.38,"4.9%"
9870,64,4318,33538.32,188.22,"4.4%"
9872,61,5493,44772.7,251.27,"4.6%"
9873,64,8018,66022.05,370.52,"4.6%"
9874,60,4061,34986.33,196.35,"4.8%"
9875,63,3541,31041.09,174.2,"4.9%"
9876,63,4212,38191.62,214.33,"5.1%"
9877,65,4637,36415.85,204.37,"4.4%"
9878,67,4036,36819.97,206.64,"5.1%"
9879,65,2617,27342.21,153.45,"5.9%"
9880,67,3753,27753.66,155.76,"4.2%"
9881,62,3039,27275.75,153.07,"5.0%"
9882,60,3369,30909.08,173.46,"5.1%"
9883,62,5777,47868.55,268.64,"4.7%"
9884,61,2634,20272.86,113.77,"4.3%"
9885,61,2648,20712.98,116.24,"4.4%"
9886,65,2446,21758.54,122.11,"5.0%"
9887,61,2377,23784.95,133.48,"5.6%"
9888,60,2934,26317.38,147.69,"5.0%"
9889,68,4079,31429.38,176.38,"4.3%"
9890,68,2908,29337.33,164.64,"5.7%"
9891,63,4517,37299.78,209.33,"4.6%"
9892,67,4678,38620.89,216.74,"4.6%"
9893,66,1733,18899.57,106.07,"6.1%"
9894,62,5344,40363.62,226.52,"4.2%"
9895,61,4555,34025.47,190.95,"4.2%"
9896,63,4567,36671.09,205.8,"4.5%"
9897,67,5261,41637.07,233.67,"4.4%"
9899,65,5747,49456.86,277.55,"4.8%"
9900,72,1543,11500.51,64.54,"4.2%"
9901,76,3528,30591.38,171.68,"4.9%"
9902,69,3265,28674.49,160.92,"4.9%"
9903,78,3871,27766.87,155.83,"4.0%"
9904,70,2204,24571.91,137.9,"6.3%"
9905,74,2808,24533.8,137.69,"4.9%"
9906,75,1859,16039.86,90.02,"4.8%"
9907,72,5017,34588.82,194.11,"3.9%"
9908,70,3835,30231.36,169.66,"4.4%"
9909,78,1543,13198.12,74.07,"4.8%"
9910,70,6107,42066.89,236.08,"3.9%"
9911,71,3192,28542.89,160.18,"5.0%"
9912,73,3850,35241.77,197.78,"5.1%"
9913,75,5936,47107.74,264.37,"4.5%"
9914,71,3759,30135.03,169.12,"4.5%"
9915,71,6059,41234.43,231.41,"3.8%"
9916,72,3552,25999.05,145.91,"4.1%"
9917,74,2991,24947.91,140.01,"4.7%"
9918,69,2297,19951.84,111.97,"4.9%"
9919,76,1542,14797.28,83.04,"5.4%"
9920,75,2403,18935.29,106.27,"4.4%"
9921,71,6871,55321.25,310.47,"4.5%"
9922,71,4343,38761.28,217.53,"5.0%"
9923,73,3293,28949.55,162.47,"4.9%"
9924,76,3236,28856.9,161.95,"5.0%"
9925,75,4718,36087.04,202.52,"4.3%"
9926,71,2211,25417.32,142.64,"6.5%"
9927,77,4979,35123.18,197.11,"4.0%"
9928,71,1151,15315.28,85.95,"7.5%"
9929,70,5328,41156.6,230.97,"4.3%"
9930,75,4668,33608.44,188.61,"4.0%"
9931,70,2730,24172.1,135.66,"5.0%"
9932,73,2937,27825.68,156.16,"5.3%"
9933,71,4329,29561.84,165.9,"3.8%"
9934,71,11508,82854.35,464.98,"4.0%"
9935,69,1322,13762.92,77.24,"5.8%"
9936,75,2903,21971.79,123.31,"4.2%"
9937,78,3602,27361.87,153.56,"4.3%"
9938,76,1410,18571.19,104.22,"7.4%"
9939,72,3106,27969.25,156.97,"5.1%"
9940,70,2009,21923.99,123.04,"6.1%"
9941,74,2292,20192.19,113.32,"4.9%"
9942,76,2905,30197.83,169.47,"5.8%"
9943,71,1912,21227.07,119.13,"6.2%"
9944,75,3349,23346.53,131.02,"3.9%"
9945,76,2253,23016.6,129.17,"5.7%"
9946,75,9726,73022.83,409.81,"4.2%"
9947,70,2790,21008.37,117.9,"4.2%"
9948,72,2450,20908.98,117.34,"4.8%"
9949,75,6186,47716.84,267.79,"4.3%"
9950,77,3452,29318.1,164.53,"4.8%"
9951,76,4381,37129.08,208.37,"4.8%"
9952,74,1929,20271.38,113.76,"5.9%"
9953,78,2133,16239.62,91.14,"4.3%"
9954,78,1312,18070.55,101.41,"7.7%"
9955,78,4519,36728.56,206.12,"4.6%"
9956,70,3672,30005.16,168.39,"4.6%"
9957,76,3996,34513.76,193.69,"4.8%"
9958,78,4955,41121.03,230.77,"4.7%"
9959,75,3726,26972.65,151.37,"4.1%"
9960,70,1648,17948.72,100.73,"6.1%"
9961,77,2340,21657.48,121.54,"5.2%"
9962,74,2658,18754.2,105.25,"4.0%"
9963,69,1984,13875.11,77.87,"3.9%"
9964,73,5033,37886.09,212.62,"4.2%"
9965,72,2419,25252.86,141.72,"5.9%"
9966,75,4191,31194.4,175.06,"4.2%"
9967,76,2285,16310.98,91.54,"4.0%"
9968,75,1792,18787.8,105.44,"5.9%"
9969,74,3475,23701.65,133.02,"3.8%"
9970,78,7351,59872.24,336.01,"4.6%"
9971,71,6760,55442.73,311.15,"4.6%"
9972,75,2173,24381.71,136.83,"6.3%"
9973,77,2482,18638.49,104.6,"4.2%"
9974,78,1782,21244.5,119.23,"6.7%"
9975,71,2989,21565.84,121.03,"4.0%"
9976,76,7388,58747.1,329.69,"4.5%"
9977,73,6286,51792.75,290.66,"4.6%"
9978,69,5631,42520.57,238.63,"4.2%"
9979,75,3526,28468.9,159.77,"4.5%"
9980,69,5520,42454.56,238.26,"4.3%"
9981,75,2889,27776.87,155.89,"5.4%"
9982,69,3454,30565.83,171.54,"5.0%"
9983,71,2678,24717.71,138.72,"5.2%"
9984,76,5862,44151.99,247.78,"4.2%"
9985,76,3793,31062.96,174.33,"4.6%"
9986,72,3237,26371.25,148,"4.6%"
9987,71,7906,63772.49,357.9,"4.5%"
9988,70,3070,30441.64,170.84,"5.6%"
9989,72,4739,40149.23,225.32,"4.8%"
9990,73,8861,69466.48,389.85,"4.4%"
9991,73,2407,17087.93,95.9,"4.0%"
9992,75,1523,14062.34,78.92,"5.2%"
9993,74,5938,41184.89,231.13,"3.9%"
9994,78,1961,18144.54,101.83,"5.2%"
9995,73,7053,53348.51,299.4,"4.2%"
9996,70,1144,9450.6,53.04,"4.6%"
9997,78,3001,30745.59,172.55,"5.7%"
9998,72,2177,18646.79,104.65,"4.8%"
9999,75,2286,21148.35,118.69,"5.2%"
3647,68,6157,74270.27,416.81,"6.8%"
3648,65,2326,38036.74,213.46,"9.2%"
3650,64,2840,40404.91,226.75,"8.0%"
3651,68,7737,96120.78,539.44,"7.0%"
3652,67,12174,137706.73,772.82,"6.3%"
3653,67,7582,83378.76,467.93,"6.2%"
3654,64,4594,61217.35,343.56,"7.5%"
3655,68,2829,29997.74,168.35,"6.0%"
3656,67,2399,37903.45,212.72,"8.9%"
3657,67,7658,86786,487.05,"6.4%"
3658,67,3077,37878.63,212.58,"6.9%"
3660,68,2711,36962.92,207.44,"7.7%"
3661,63,6941,79675.4,447.14,"6.4%"
3662,61,3022,38969.52,218.7,"7.2%"
3663,68,5768,66078.84,370.84,"6.4%"
3665,68,4165,47479.83,266.46,"6.4%"
3668,62,5378,68036.49,381.82,"7.1%"
3669,64,2781,30881.83,173.31,"6.2%"
3670,64,5861,70234.29,394.16,"6.7%"
3671,65,3314,44199.73,248.05,"7.5%"
3672,66,14610,167723.41,941.27,"6.4%"
3674,64,2776,33139.47,185.98,"6.7%"
3675,62,4004,56222.98,315.53,"7.9%"
3676,66,1802,35188.95,197.48,"11.0%"
3677,60,5127,64356.55,361.17,"7.0%"
3678,61,5740,76237.29,427.85,"7.5%"
3679,65,1633,28854.45,161.93,"9.9%"
3681,68,1983,23549.79,132.16,"6.7%"
3682,64,3980,48103.13,269.96,"6.8%"
3683,63,3468,44968.16,252.36,"7.3%"
3684,61,3605,51274.28,287.75,"8.0%"
3685,68,7925,91083.64,511.17,"6.5%"
3686,65,2557,42753.97,239.94,"9.4%"
3687,65,5688,73906.08,414.77,"7.3%"
3688,64,3843,49322.91,276.8,"7.2%"
3689,64,1950,36859.11,206.86,"10.6%"
3690,65,3144,40242.48,225.84,"7.2%"
3691,68,2634,27566.35,154.7,"5.9%"
3692,61,13952,147395.18,827.19,"5.9%"
3693,64,2192,24038.63,134.91,"6.2%"
3695,67,9620,115746.01,649.57,"6.8%"
3697,63,3605,40630.47,228.02,"6.3%"
3698,63,6066,74461.95,417.89,"6.9%"
3699,63,2290,30351.85,170.34,"7.4%"
3700,65,1711,21330.75,119.71,"7.0%"
3701,62,5724,69471.84,389.88,"6.8%"
3702,62,3011,39638.25,222.45,"7.4%"
3703,62,4278,45980.3,258.04,"6.0%"
3704,66,6500,73231.24,410.98,"6.3%"
3705,68,5384,59024.8,331.25,"6.2%"
3706,61,4264,57666.5,323.63,"7.6%"
3707,63,3197,47437.56,266.22,"8.3%"
3708,62,2501,33859.62,190.02,"7.6%"
3709,60,3454,41070.73,230.49,"6.7%"
3711,60,3902,52492.49,294.59,"7.5%"
3712,61,2441,27325.41,153.35,"6.3%"
3713,64,3453,46925.21,263.35,"7.6%"
3714,61,11848,123772.36,694.62,"5.9%"
3715,64,4574,63192.16,354.64,"7.8%"
3716,67,3593,42818.06,240.3,"6.7%"
3717,67,7004,77793.38,436.58,"6.2%"
3718,64,762,14008.01,78.61,"10.3%"
3719,65,3722,39525.54,221.82,"6.0%"
3720,68,4551,58146.96,326.32,"7.2%"
3721,68,3236,37245.68,209.03,"6.5%"
3722,68,3127,47053.38,264.07,"8.4%"
3724,68,3501,47136.57,264.53,"7.6%"
3725,64,4818,52391.5,294.02,"6.1%"
3726,66,5144,57589.31,323.19,"6.3%"
3727,60,4448,58097.47,326.05,"7.3%"
3728,63,5634,63548.04,356.64,"6.3%"
3729,61,3198,36394.41,204.25,"6.4%"
3730,61,8653,105031.52,589.44,"6.8%"
3731,68,2121,32353.73,181.57,"8.6%"
3732,61,3724,43887.98,246.3,"6.6%"
3733,63,3524,41258.95,231.55,"6.6%"
3734,64,1229,19195.99,107.73,"8.8%"
